dataset,model,split,status,n_test_perturbations,pearson_delta,pearson_delta_ci95_low,pearson_delta_ci95_high,bns,bns_status,UER_at_50,UER_at_50_ci95_low,UER_at_50_ci95_high,sign_flip_rate,sign_flip_rate_ci95_low,sign_flip_rate_ci95_high,retrieval_top1_accuracy,retrieval_top5_accuracy,retrieval_mrr,uncertainty_status,notes,permutation_seed
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.2221448863018963,0.15142091787578632,0.30176097204219776,,UNVERIFIED,0.003859649122807018,0.002105263157894737,0.0059649122807017545,0.35670203175924,0.3172092781360516,0.39892691214201514,0.017543859649122806,0.08771929824561403,0.08019777565669328,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 1; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.28021414204584905,0.20448741784706193,0.3611106810695797,,UNVERIFIED,0.0059649122807017545,0.0035087719298245615,0.008429824561403511,0.3258442549060398,0.2777789334997573,0.3729959780875112,0.017543859649122806,0.12280701754385964,0.09166202342623865,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 2; replicate upper bound not yet verified. ,2
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.22840029203014342,0.14193013564837245,0.30205395989737266,,UNVERIFIED,0.0038596491228070177,0.0017543859649122807,0.006666666666666667,0.36918382913806264,0.3273524720893142,0.4141945773524721,0.0,0.10526315789473684,0.07043266112516731,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 3; replicate upper bound not yet verified. ,3
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.20204775661462324,0.12765130737117056,0.28452329745635074,,UNVERIFIED,0.0017543859649122807,0.00035087719298245617,0.003157894736842105,0.36627140974967065,0.31958255322099716,0.4060571388946675,0.017543859649122806,0.05263157894736842,0.06671267365054664,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 4; replicate upper bound not yet verified. ,4
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.2838429177850944,0.1965573232072708,0.37783197826799736,,UNVERIFIED,0.002456140350877193,0.0007017543859649123,0.00456140350877193,0.3282019277442619,0.2831981138617294,0.3770456279037515,0.03508771929824561,0.08771929824561403,0.09431819585126212,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 5; replicate upper bound not yet verified. ,5
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.2662527750190495,0.18884570780872562,0.3556516980987868,,UNVERIFIED,0.003157894736842105,0.0017456140350877196,0.004912280701754386,0.34096109839816935,0.2991436100131752,0.3886849039595035,0.017543859649122806,0.08771929824561403,0.07755533700622042,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 6; replicate upper bound not yet verified. ,6
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.29991066228221863,0.22765051402687814,0.37535790100791083,,UNVERIFIED,0.0035087719298245615,0.0014035087719298247,0.005622807017543862,0.3245960751681575,0.2872044241037376,0.36270196241592123,0.05263157894736842,0.08771929824561403,0.10774233608635962,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 7; replicate upper bound not yet verified. ,7
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.292477665491373,0.2231661799398909,0.36098066166529685,,UNVERIFIED,0.002456140350877193,0.0010526315789473684,0.004210526315789474,0.3218916857360793,0.281448928645725,0.3569291311282159,0.03508771929824561,0.15789473684210525,0.11478304297911986,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 8; replicate upper bound not yet verified. ,8
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.28251277609025577,0.20090600641839168,0.36093942068008894,,UNVERIFIED,0.003157894736842105,0.0013947368421052635,0.005973684210526318,0.3293807641633728,0.28837285902503296,0.37670757922474174,0.017543859649122806,0.08771929824561403,0.09583911907902364,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 9; replicate upper bound not yet verified. ,9
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.21698490543667243,0.138269710131265,0.2954656907492846,,UNVERIFIED,0.00456140350877193,0.002105263157894737,0.007728070175438599,0.36065460092920054,0.31264475417793497,0.4059877955758963,0.03508771929824561,0.12280701754385964,0.09524233362681461,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 10; replicate upper bound not yet verified. ,10
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.2631869482684014,0.1787601183913661,0.3448625851060366,,UNVERIFIED,0.002105263157894737,0.0007017543859649123,0.0035087719298245615,0.3345815130712156,0.28964530892448515,0.3783943554538521,0.07017543859649122,0.12280701754385964,0.12527723210573838,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 11; replicate upper bound not yet verified. ,11
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.27922844727886514,0.21863046249697154,0.3452474025992818,,UNVERIFIED,0.00456140350877193,0.0024473684210526317,0.007017543859649123,0.31800845988489007,0.28011060259344017,0.3530372373621801,0.0,0.12280701754385964,0.07951301740823118,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 12; replicate upper bound not yet verified. ,12
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.23736418817137211,0.16310579507877362,0.30838875235478685,,UNVERIFIED,0.003859649122807018,0.0020964912280701754,0.005622807017543863,0.34512169752444355,0.3057242909645656,0.38362457527217253,0.05263157894736842,0.08771929824561403,0.09954854781640964,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 13; replicate upper bound not yet verified. ,13
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.23354133705888888,0.15663319395473807,0.2989569826159155,,UNVERIFIED,0.005614035087719299,0.002798245614035088,0.008771929824561403,0.35046113306982873,0.3155103668261563,0.38890333541363287,0.017543859649122806,0.10526315789473684,0.08302515931671436,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 14; replicate upper bound not yet verified. ,14
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.23753779056793917,0.1751434276763661,0.3003937495710314,,UNVERIFIED,0.0038596491228070177,0.0017543859649122807,0.00631578947368421,0.33832605228486234,0.3018982733513626,0.36816968310103326,0.0,0.03508771929824561,0.0519559492082597,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 15; replicate upper bound not yet verified. ,15
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.25018521363214447,0.18765491365609024,0.33011688554249496,,UNVERIFIED,0.0038596491228070177,0.0014035087719298247,0.00631578947368421,0.33139172040773873,0.28857915539837736,0.3656005131405589,0.03508771929824561,0.08771929824561403,0.09619630044782185,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 16; replicate upper bound not yet verified. ,16
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.23988811921459208,0.1525889121443482,0.3174324815360311,,UNVERIFIED,0.0017543859649122807,0.0007017543859649123,0.003157894736842105,0.3576728382220373,0.31760800221898616,0.40977567436377504,0.0,0.07017543859649122,0.0647011035685766,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 17; replicate upper bound not yet verified. ,17
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.25469943594966993,0.16744659832759523,0.33119044015527727,,UNVERIFIED,0.002105263157894737,0.00035087719298245617,0.003859649122807018,0.33159975036405237,0.29286977324734764,0.37470182372928373,0.07017543859649122,0.14035087719298245,0.12642344016629434,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 18; replicate upper bound not yet verified. ,18
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.2690886342993294,0.1959283311546338,0.33562394686590685,,UNVERIFIED,0.0028070175438596493,0.0014035087719298247,0.004912280701754386,0.3343041397961306,0.2964236183343735,0.3688943207821927,0.017543859649122806,0.14035087719298245,0.09015123347938861,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 19; replicate upper bound not yet verified. ,19
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L1,COMPLETED_FALSIFICATION_PERMUTATION,57,0.26825030060048227,0.203437929077884,0.3302003462857055,,UNVERIFIED,0.003157894736842105,0.0013947368421052635,0.005614035087719299,0.3266070314125234,0.28762395118230366,0.36405935788086813,0.03508771929824561,0.10526315789473684,0.10020507542211539,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 20; replicate upper bound not yet verified. ,20
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L2,COMPLETED_FALSIFICATION_PERMUTATION,33,0.26599065737293137,0.16531736432812522,0.34100593152278624,,UNVERIFIED,0.008484848484848486,0.0036363636363636364,0.015151515151515152,0.32770391663672294,0.28481854114265176,0.3893190801293568,0.06060606060606061,0.21212121212121213,0.1638679039521232,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 1; replicate upper bound not yet verified. ,1
Norman2019_GEARS_processed_mirror,FP3_label_shuffled_mean_effect,L2,COMPLETED_FALSIFICATION_PERMUTATION,33,0.2291441811026139,0.1186643362099288,0.30452502690109284,,UNVERIFIED,0.0036363636363636364,0.0012121212121212121,0.006666666666666667,0.35944424481973886,0.3117558989100491,0.4223529764043598,0.030303030303030304,0.18181818181818182,0.13317824790980257,BOOTSTRAP_PERTURBATION_LEVEL,Label-shuffled perturbation delta probe permutation 2; replicate upper bound not yet verified. ,2
